NUM,NAME,MAGICIAN,CATEGORY
1,BARE HAND BILL PRODUCTION & OTHER EFFECTS,Juan Pablo,BILLS
2,Money,Jay Noblezada,BILLS
3,Prophet,Tom Issacson,BILLS
4,13 worlds greatest card tricks,Andrew murray,CARDS
5,25 Tricks with Stripper Deck,David Hudspath,CARDS
6,25 Tricks with Svengali Deck,David Hudspath,CARDS
7,2wo Faced,David Forrest,CARDS
8,A few good cards,Aldo Colombini,CARDS
9,Affected by Berglas,Marc Paul,CARDS
10,Annihilation Deck,Cameron Francis,CARDS
11,Anthony Miller's Colossal Blizzard,Oz Pearlman,CARDS
12,Any Card at any number,Jamie Allen,CARDS
13,Art of Card Manipulation Volume 1,McBride,CARDS
14,Art of Card Manipulation Volume 2,McBride,CARDS
15,Art of Card Manipulation Volume 3,McBride,CARDS
16,Black Hole,Mathieu Bich,CARDS
17,Blind,Daniel Madison,CARDS
18,BLINK,Mark Mason,CARDS
19,Born,Oz Pearlman,CARDS
20,Blizzard,Dean Dill,CARDS
21,Born To Perform Card Magic,Oz Pearlman,CARDS
22,Boxing Match,Masuda,CARDS
23,Brainwave Deck,Penguin magic,CARDS
24,Branded,MISC,CARDS
25,Bullseye,Brent Braun,CARDS
26,Card Creations,Martin Lewis,CARDS
27,Classic Force,Paul Green,CARDS
28,Clutch,Oz Pearlman,CARDS
29,Color Blind,Luke Jermay,CARDS
30,Color Fusion,Eric James,CARDS
31,Cosmos,Greg Rostami,CARDS
32,Counter Weight,Mathieu Bich,CARDS
33,Crash Course 1,Ellusionist,CARDS
34,Crash Course 2,Ellusionist,CARDS
35,Dave2,David Williamson,CARDS
36,DVR,Tony Chang,CARDS
37,East Meet West,Joshua Jay,CARDS
38,Ed Marlo - The Legend,Ed Marlo,CARDS
39,Election,Chris kerner,CARDS
40,Elevator Cut,Eric Jones,CARDS
41,Ellusionist - Crash Course 1 - In Sleight of Hand Card Magic,Brad,CARDS
42,Encyclopedia of Card Sleights vol 1-4,Daryl,CARDS
43,Encyclopedia of Card Magic,Akira Fuji,CARDS
44,Entity,Jeremy Hanrahan,CARDS
45,False Cuts,Luke Jermay,CARDS
46,Five Card Stud,Lee Asher,CARDS
47,Ghost Kings,Asher Twist,CARDS
48,Impossible Card Magic,Ray Kosby,CARDS
49,Impromptu Card Magic Vol 2,Aldo Colombini,CARDS
50,Inflight,Daniel Madison,CARDS
51,Invisible Deck,Penguin magic,CARDS
52,Loop Hole Gimmick,Nigel Harrison,CARDS
53,Magical Classics,Harry Lorayne,CARDS
54,Making Magic Vol 1,Martin Lewis,CARDS
55,Marlos Miracle Routine,Bill Malone,CARDS
56,Mexican Revolution,MISC,CARDS
57,Million Dollar Card Magic,Simon Lovell,CARDS
58,On Card Cheating,Darwin Ortiz,CARDS
59,One Deck 14 Tricks - Vol 1,Matthew Dowden,CARDS
60,One Deck 14 Tricks - Vol 2,Matthew Dowden,CARDS
61,Polaroid,Smith,CARDS
62,Que Raro,Dani DaOrtiz and Christian Englbom,CARDS
63,Queens Depate,J.C. Wagner,CARDS
64,Real Brainwave,Michael Boden,CARDS
65,Real Floating Card,Eric James,CARDS
66,Rehab,Cameron Francis,CARDS
67,Rising Card,Youtube,CARDS
68,Royal Road to Card Magic (Full collection),Paul Wilson,CARDS
69,"Scams & Fantasies with Cards Vol 1, 2",Darwin Ortiz,CARDS
70,"Scams & Fantasies with Cards Vol 3, 4",Darwin Ortiz,CARDS
71,"Show off - Vol 1,2,3",Brian Tudar,CARDS
72,Sick and Twisted Wings of a Mockingbird,Theory 11,CARDS
73,Side Steal,Paul Cummins,CARDS
74,Sleight Of Hand With Cards,Jay Sankey,CARDS
75,Static,Joel Pascal,CARDS
76,Strip Out Triple Cut,Luke Jermay,CARDS
77,The Art of Card Manipulation - Vol 1,Jeff mcbride,CARDS
78,The Art of Card Manipulation - Vol 2,Jeff mcbride,CARDS
79,The Art of Card Splitting,Martini,CARDS
80,The Essential - Vol. 1,Aldo Colombini,CARDS
81,The Essential - Vol. 2,Aldo Colombini,CARDS
82,The Snap Change,Michael Hankins,CARDS
83,The Swing Change,Daniel Madison,CARDS
84,The werm,Dan & Dave,CARDS
85,The Zenneth Code,Zenneth,CARDS
86,Three Card Monte,Sal Piacente,CARDS
87,TNR,Mathieu Bich,CARDS
88,Transporter,Joshua Jay,CARDS
89,Trio,David Forrest,CARDS
90,True Love,Oz Pearlman,CARDS
91,Truffle Shuffle,Derek DelGadio,CARDS
92,Tsunami Project,Will Tsai,CARDS
93,Ultimate Card Through Window,Eric James,CARDS
94,Ultragaff Vol. 1,Wayne Houchin,CARDS
95,Ultragaff Vol. 2,Wayne Houchin,CARDS
96,Unripped,Gared Crawford,CARDS
97,Untitled,Luke Dancy,CARDS
98,Watch magic,Oz Pearlman,CARDS
99,Wrath,Daniel Madison,CARDS
100,XCM,MISC,CARDS
101,Floating Cigarette,MISC,CIGARETTE
102,Quit Smoking,Russ,CIGARETTE
103,25 Tricks with Scotch and Soda,David Hudspath,COINS
104,3 Fly - III,Daryl,COINS
105,Bullet Coin through Bottle,Ellusionist,COINS
106,Coin Flux,Penguin magic,COINS
107,Coin Matrix,Shawn Farqhuar,COINS
108,Factory Sealed,Ellusionist,COINS
109,Killer coin vanish,Freemagictricks4u,COINS
110,Melt,Eric James,COINS
111,Modern coin magic - Vol 1 to 4,Bobo,COINS
112,Secret Art of Coin Manipulation,Eric Evans,COINS
113,Sleight Of Hand With Coins,Jay Sankey,COINS
114,Symbiotic,Tim David,COINS
115,The Complete Introduction To Coin Magic,Michael Ammar,COINS
116,Dove 101,Andy amyx,DOVE
117,Loops,Yigal Mesika,IT
118,Tarantula,Yigal Mesika,IT
119,Confabulation,Alan Shaxon,MENTALISM
120,Control,Wayne Houchin,MENTALISM
121,Digital Deception,Marc Oberon,MENTALISM
122,Fundamentalism,David Eldridge,MENTALISM
123,Ghost Spoon,Kikuchi magic,MENTALISM
124,Instinct,Mathew Mello,MENTALISM
125,Magic Square,Luke Jermay,MENTALISM
126,No Camera Tricks - Vol 1 to 4,Richard Osterlind,MENTALISM
127,Nothing,Max Maven,MENTALISM
128,PSI Series - Vol 1 to 4,Banachek,MENTALISM
129,QA - Teach in Vol 3,Lee Earle,MENTALISM
130,Revelation,MISC,MENTALISM
131,Seriality,David Jones,MENTALISM
132,Skullduggery,Luke Jermay,MENTALISM
133,Video Mind,Max Maven,MENTALISM
134,Word in a Million,Mark Mason,MENTALISM
135,22 Blows to the Head,Jay Sankey,MISC
136,A Different Side of Me,Joshua Jay,MISC
137,Amazing Magic Tricks with Everyday objects,Royal Magic,MISC
138,Amazing Tricks Anyone Can Do Vol. 1 & 2,Jay Sankey,MISC
